hotel_id,n_reviews,low_confidence,avg_rating,cleanliness,staff_service,wifi_quality,location_accessibility,safety_&_securiy
0,14,False,4.0,Elite,Elite,insufficient_data,Superior,insufficient_data
1,12,False,2.92,Premium,Superior,insufficient_data,Elite,Superior
2,12,False,2.58,Premium,Superior,insufficient_data,Elite,Fail
3,15,False,3.0,Premium,Premium,insufficient_data,Premium,Fail
4,16,False,2.19,Fail,Premium,insufficient_data,Premium,Fail
5,23,False,2.96,Premium,Premium,Premium,Premium,Premium
6,13,False,2.69,Premium,Premium,insufficient_data,Superior,insufficient_data
7,17,False,3.18,Superior,Elite,insufficient_data,Elite,Premium
8,13,False,3.38,Superior,Premium,insufficient_data,Elite,Premium
9,13,False,4.08,Superior,Superior,insufficient_data,Elite,insufficient_data
10,13,False,2.85,Premium,Premium,insufficient_data,Elite,insufficient_data
11,23,False,3.04,Superior,Premium,Premium,Superior,Fail
12,10,False,2.9,Premium,Premium,insufficient_data,Superior,insufficient_data
13,14,False,2.79,Premium,Premium,insufficient_data,Elite,Fail
14,10,False,3.8,Elite,Elite,insufficient_data,Elite,insufficient_data
15,13,False,3.08,Superior,Premium,insufficient_data,Elite,insufficient_data
16,16,False,2.25,Premium,Premium,insufficient_data,Elite,Premium
17,15,False,2.6,Premium,Fail,insufficient_data,Elite,Superior
18,17,False,3.18,Superior,Superior,insufficient_data,Superior,Superior
19,14,False,2.79,Premium,Premium,insufficient_data,Elite,Fail
20,9,False,3.22,Fail,Premium,insufficient_data,Elite,Fail
21,21,False,2.48,Fail,Fail,Premium,Elite,Fail
22,10,False,2.6,Premium,Premium,insufficient_data,Premium,insufficient_data
23,15,False,2.4,Premium,Premium,insufficient_data,Elite,Fail
24,15,False,3.67,Superior,Superior,insufficient_data,Superior,Fail
25,8,False,2.88,Premium,Premium,insufficient_data,insufficient_data,insufficient_data
26,9,False,3.0,Elite,Premium,insufficient_data,Elite,insufficient_data
27,14,False,2.5,Premium,Premium,insufficient_data,Elite,Fail
28,16,False,3.06,Superior,Superior,insufficient_data,Elite,Fail
29,14,False,3.07,Premium,Superior,insufficient_data,Elite,Fail
30,13,False,3.0,Premium,Superior,insufficient_data,Elite,Fail
31,11,False,3.82,Elite,Superior,insufficient_data,Superior,Premium
32,22,False,2.82,Superior,Premium,insufficient_data,Superior,Fail
33,9,False,3.67,Elite,Premium,insufficient_data,Superior,Premium
34,13,False,3.23,Premium,Premium,insufficient_data,Elite,Fail
35,16,False,2.81,Premium,Premium,insufficient_data,Premium,Fail
36,18,False,3.0,Premium,Premium,insufficient_data,Superior,Fail
37,20,False,3.25,Premium,Premium,Fail,Elite,Fail
38,15,False,3.07,Superior,Superior,insufficient_data,Superior,Fail
39,17,False,2.88,Premium,Premium,insufficient_data,Superior,Fail
40,17,False,3.06,Premium,Premium,insufficient_data,Premium,Fail
41,15,False,2.87,Fail,Premium,insufficient_data,Elite,Fail
42,18,False,2.78,Premium,Premium,insufficient_data,Elite,insufficient_data
43,18,False,2.83,Premium,Premium,insufficient_data,Premium,Fail
44,24,False,3.62,Elite,Superior,Fail,Superior,Fail
45,19,False,2.79,Premium,Premium,insufficient_data,Superior,Fail
46,15,False,3.4,Superior,Premium,insufficient_data,Superior,Fail
47,18,False,3.11,Premium,Premium,insufficient_data,Superior,Fail
48,16,False,2.56,Premium,Premium,insufficient_data,Superior,Fail
49,12,False,3.08,Superior,Superior,insufficient_data,Elite,insufficient_data
