review_idx,rating,review_text,cleanliness_sentiment,staff_service_sentiment,wifi_quality_sentiment,location_accessibility_sentiment,safety_&_securiy_sentiment,cleanliness_confidence,staff_service_confidence,wifi_quality_confidence,location_accessibility_confidence,safety_&_securiy_confidence,cleanliness_evidence,staff_service_evidence,wifi_quality_evidence,location_accessibility_evidence,safety_&_securiy_evidence
18754,4,"excellent allround traffic noise junior hotel situated avinguda sarria 5 minutes walk hospital clinic metro station, bus stop red blur routes bus turistic 7 minutes walk away, centre reach public transport 15 minutes, accommodation high standard opinion 2* classification, rooms clean simply tasteful",positive,positive,not_mentioned,positive,not_mentioned,0.95,0.95,0.0,0.95,0.0,"rooms clean simply tastefully furnished air conditioning, bathrooms excellent",staff way helpful reception manned 24 hours day,,"situated avinguda sarria 5 minutes walk hospital clinic metro station, bus stop red blur routes bus turistic 7 minutes walk away, centre reach public transport 15 minutes",
2440,4,"magnificent trip vieques, love staying somewhat different accommodations, hix island house exactly looking, buildings apartments amazing, loved casual highly elegant atmosphere, not nature lover need necessecities big hotel not place, kris kurt great helpful, going soon,  ",neutral,positive,not_mentioned,not_mentioned,not_mentioned,0.7,0.95,0.0,0.0,0.0,buildings apartments amazing,kris kurt great helpful,,,
16540,4,"tried tested formula aman really got pat fabulous resorts unparalled levels service, number 5-star rated reviews amankila received testament ability deliver consistently high level product guest stays resort.my wife just spent week amankila generally agree positive reviews, beautiful resort amazing ",positive,positive,not_mentioned,not_mentioned,not_mentioned,0.95,1.0,0.0,0.0,0.0,beautiful resort amazing design despite 15 years old resort looks fresh timeless great villas wonderful choice pools black sand beach,"it__Ç_é_ definitely staff makes place, personal unobtrusive warm discreet trained anticipate guests__Ç needs, surprising impressed reviewers service point suggesting staff telepathic",,,
7256,4,"great setting fully renovated bit expensive booked stay hotel website worked well.the hotel located place du pantheon fantastic place stay, right middle latin quarter sorbonne luxembourg gardens not far notre-dame, regretfully metro stations not close cases travels paris foot not problem seem.the pr",positive,positive,not_mentioned,negative,not_mentioned,0.95,0.9,0.0,0.9,0.0,"the property entirely renovated, room number 62 bit small adequate person",service prompt responsive,,regretfully metro stations not close cases travels paris foot not problem seem,
4232,4,"touring toronto stayed friends day weekend visit toronto, hotel clean modern expected marriott, hotel great location visited downtown toronto sites foot distillery district great continue improve, did not eat hotel great restaurants immediate vicinity,  ",positive,not_mentioned,not_mentioned,positive,not_mentioned,0.95,0.0,0.0,0.95,0.0,hotel clean modern expected marriott,,,hotel great location visited downtown toronto sites foot distillery district,
7878,4,"absolutely fine not did n't set world lovely hotel period usa situated downtown san fran staff exception excellent helpful, gym facilities good clean.the hotel 1 bar like small tv longe steak resturant like traditional old style steak house, meat excellent quality cut chef did weird thing 8 inch car",positive,positive,not_mentioned,positive,not_mentioned,0.9,0.95,0.0,0.9,0.0,gym facilities good clean,staff exception excellent helpful,,situated downtown san fran ideal town shopping location,
7078,4,"relaxing mom spent week december secrets, staff attentive, food average, lobster day lunch, arrived queen bed room not available, share king bed night, concierge certain moved room queen beds morning, beach clean endless, easterly wind ocean choppy, not want december like calm sea, overall resort, r",positive,positive,not_mentioned,not_mentioned,not_mentioned,0.9,0.95,0.0,0.0,0.0,beach clean endless,staff attentive,,,
10363,4,"great location friendly service stayed hotel 4 nights, location central virtually walk, customer service perfect, different receptionists helpful gave excellent recommendations, hint noise street traffic small size room, well-traveled like know rooms small europe florence city means traffic noise,  ",not_mentioned,positive,not_mentioned,positive,not_mentioned,0.0,0.95,0.0,0.95,0.0,,"customer service perfect, different receptionists helpful gave excellent recommendations",,location central virtually walk,
2585,4,"great time husband just came trip el conquistador, thought post experience read reviews good bad el conquistador, rooms stayed la castitas, room mediocre roomy dated kind dirty, big deck best pools seen, knew people staying marina la vistas think wing, marina really loud hung bar night right rooms, ",negative,not_mentioned,not_mentioned,neutral,not_mentioned,0.9,0.0,0.0,0.7,0.0,"rooms stayed la castitas, room mediocre roomy dated kind dirty",,,friends complained time commute main area resort going bar took pretty long,
942,4,"colourful comfortable stayed 4 nights september, good central location clean room not slightly slant, good bathroom, breakfast not complementary not comment, fast free internet study room ground floor, staff polite helpful, recommended,  ",positive,positive,positive,positive,not_mentioned,0.95,0.95,0.95,0.9,0.0,"good central location clean room not slightly slant, good bathroom",staff polite helpful,fast free internet study room ground floor,good central location,
12244,4,"great budget hotel, travelodge hotel phillip street really conveniently located right central business district 5-10 min walking distance sydney harbor major shopping areas hyde park george street nightlife, hotel incredibly clean new paint job just arrived staff friendly, overall fantastic budget h",positive,positive,not_mentioned,positive,not_mentioned,1.0,1.0,0.0,1.0,0.0,hotel incredibly clean new paint job just arrived,staff friendly,,really conveniently located right central business district 5-10 min walking distance sydney harbor major shopping areas hyde park george street nightlife,
3840,4,"overall great vacation wife 4 y.o, daughter great vacation overall stayed riu taino 14 nights 28-june 11 2005. weather fine rains night morning till 11am got special all-inclusive riu deal kids stay free including free flight paid taxes child, aware not 5 star hotel advertised, visitors 70 europe ge",negative,positive,not_mentioned,not_mentioned,not_mentioned,0.9,0.8,0.0,0.0,0.0,washroom door room not isolated smells everywere right away freshener you,visitors 70 europe germany domestic peaple friendly,,,
1444,4,"perfect stay great time staying adolphus new year, ideal location stay staff friendly particularly bellmen technician came help dvd player room slight problem nothing major, hotel helpful airline temporarily lost cases sure returned safely, bellman particular believe noted reviews especially sweet c",positive,positive,not_mentioned,not_mentioned,positive,1.0,1.0,0.0,0.0,0.9,room did not musty smell bright clean,"staff friendly particularly bellmen technician came help dvd player room slight problem nothing major, bellman particular believe noted reviews especially sweet chatting helping lot",,,hotel helpful airline temporarily lost cases sure returned safely
17885,4,"great value tokyo recommend hotel family friends, central location makes gem not mention reasonable price, ginza itchome metro exit 11 turn right, just short blocks 1 minute walk, hotel staff hospitable helpful, reviews n't breakfast not worth 20, try mcdonald starbuck minute away foot.the room simp",positive,positive,not_mentioned,positive,not_mentioned,1.0,1.0,0.0,1.0,0.0,the room simple comfortable ultraclean,hotel staff hospitable helpful,,"central location makes gem, ginza itchome metro exit 11 turn right, just short blocks 1 minute walk, connections nearby ginza metro exit 13 convenient hotel excellent",
13057,4,"impressed quiet, recently stayed la fortezza mid-may trip europe, did not use travel agent plan simply winged choosing hotels trip using reviews, no problem hotel honoring quoted price time check-out, room floor adequate not large definitely did n't spend time sleep, florence small city pretty walk ",positive,neutral,not_mentioned,positive,positive,0.9,0.7,0.0,0.9,0.9,room floor adequate not large definitely did n't spend time sleep,no problem hotel honoring quoted price time check-out,,close train station really n't need taxi hotel maybe minute walk,nice residential neighborhood safe quiet
5515,4,"great family room location hotel perfect, close want, walk everywhere.we family quad room sleeps 4 people, awesome, bathroom huge 2 stories double twins loft, lovely balcony facing courtyard breakfast room below.the breakfast good.the problem navagating way streets asked staff ice chill wine did not",not_mentioned,neutral,not_mentioned,positive,not_mentioned,0.0,0.7,0.0,1.0,0.0,,"asked staff ice chill wine did not want, felt weird having asking man desk told no, asked maid gladly gave us",,"great family room location hotel perfect, close want, walk everywhere",
6852,4,"worth trip straight facts new yorker boyfriend took trip resort 11/22 11/28 time excellence, main goal relax worry nothing spend day lounging beautiful beach pool just turned, reviews people left worry wanted write review people know nothing worry rooms nice just appear website, ground floor no prob",positive,not_mentioned,not_mentioned,not_mentioned,not_mentioned,0.9,0.0,0.0,0.0,0.0,ground floor no problems bugs,,,,
18950,4,absolutely superb karl pat stoke-on-trent england just returned weeks ocean sands.lets start bad points entire experience.travelled choice check return airport horrendous stood queue 1 hour no help guidance choice reps.only gripe not shade pool areas.this trip dom rep far away best hotel food beach ,positive,positive,not_mentioned,not_mentioned,not_mentioned,0.8,1.0,0.0,0.0,0.0,rooms excellent,must make special mention lads mikes coffee shopand alexander lobby bar 24 hour smiles entertainment 90 staff maids management,,,
19509,4,loved riu palace not riu bamboo loved riu palace not riu bamboo loved riu palace not riu bamboo loved riu palace not riu bamboo loved riu palace not riu bamboo no place review went wife 12 year old child june 6-10th 2006booked dynamic travel southlake txprice spent 1000 plus tips 350 arrived america,positive,positive,not_mentioned,not_mentioned,not_mentioned,1.0,0.9,0.0,0.0,0.0,"rooms resort wonderfully appointed jaccusi sp tubs plenty towels ac works great new, frig beer mixers liquor bottles mounte",receptionist wonderful picky room asked high near beach view pool ocean got took time price,,,
2965,4,"complaints loved, stayed bavaro princess march occasionally read reviews amazed people complain food language, country 3rd world country want, people speak english try help want, agree didnt care food picky eater didnt starve, rooms exceptionally clean nice staff great helping needed ruben bartender",positive,positive,not_mentioned,not_mentioned,not_mentioned,1.0,1.0,0.0,0.0,0.0,rooms exceptionally clean,nice staff great helping needed ruben bartender pool outstanding look,,,
2770,4,"kids loved place family spent week april 2004. husband kids ages 3 9 mos, time mother law stayed 3bd/3ba villa 30 feet beach, decor nothing write home functional, layout common area connected 3 separate bedrooms courtyard bit problematic small children, openness villas bit unsettling, location villa",negative,neutral,not_mentioned,positive,negative,0.8,0.7,0.0,0.9,0.7,closed unit screens eaten alive mosquitos bedroom door open accessible kids,staff friendly not completely bilingual,,"location villa awesome, private beach yard, mind best villa available excluding ultra luxury villas","openness villas bit unsettling, closed unit screens eaten alive mosquitos bedroom door open accessible kids"
2214,4,"good price location given proximity downtown seattle center expected pay, room clean kept expect hampton inn, desk staff n't swamped helpful directing various restaurants area, free hot breakfast free cookies night, location nearly ideal 5th ave. major bus route goes right downtown just minutes, thi",positive,neutral,not_mentioned,positive,not_mentioned,0.9,0.7,0.0,0.9,0.0,room clean kept expect hampton inn,"desk staff n't swamped helpful directing various restaurants area, waited packed lobby 20 minutes helped, calls desk asking come look no order sign kept promising send no came, chalk fact people swarming desk staff check-ins just forgot",,location nearly ideal 5th ave. major bus route goes right downtown just minutes,
16179,4,"enjoyable experience stayed christmas period extremely busy friendly informative, think just opened, stayed executive floors slightly disappointed rooms slightly smaller usual hotel class, clean tha view upper floors amazing, just hong kong island.the swimming pool floor best views gym level, times ",positive,positive,not_mentioned,positive,not_mentioned,0.9,0.8,0.0,0.8,0.0,clean tha view upper floors amazing,friendly informative,,shopping centre incorporated hotel not far metro station,
8488,4,"pleasant comfortable modern managed hotel friendly efficient service, n't use plastic throw-away cups providing room service,  ",not_mentioned,positive,not_mentioned,not_mentioned,not_mentioned,0.0,0.9,0.0,0.0,0.0,,friendly efficient service,,,
